label,extracted_symptoms,symptom_tokens
Typhoid,belly pain chills constipation fever headache pain,"['belly', 'pain', 'chills', 'constipation', 'fever', 'headache', 'pain']"
Typhoid,belly pain nausea vomiting,"['belly', 'pain', 'nausea', 'vomiting']"
Typhoid,constipation,['constipation']
Typhoid,constipation diarrhea fever headache high fever vomiting,"['constipation', 'diarrhea', 'fever', 'headache', 'high', 'fever', 'vomiting']"
Typhoid,chills constipation headache pain,"['chills', 'constipation', 'headache', 'pain']"
Typhoid,pain vomiting,"['pain', 'vomiting']"
Typhoid,abdominal pain diarrhea headache pain vomiting,"['abdominal', 'pain', 'diarrhea', 'headache', 'pain', 'vomiting']"
Typhoid,constipation fever pain,"['constipation', 'fever', 'pain']"
Typhoid,nausea vomiting,"['nausea', 'vomiting']"
Typhoid,belly pain fever headache high fever pain,"['belly', 'pain', 'fever', 'headache', 'high', 'fever', 'pain']"
Typhoid,fatigue fever pain,"['fatigue', 'fever', 'pain']"
Typhoid,constipation fever,"['constipation', 'fever']"
Typhoid,diarrhea vomiting,"['diarrhea', 'vomiting']"
Typhoid,chills fever,"['chills', 'fever']"
Typhoid,diarrhea fever pain vomiting,"['diarrhea', 'fever', 'pain', 'vomiting']"
Typhoid,diarrhea headache pain,"['diarrhea', 'headache', 'pain']"
Typhoid,bloating chills constipation fever high fever pain,"['bloating', 'chills', 'constipation', 'fever', 'high', 'fever', 'pain']"
Typhoid,fever headache high fever,"['fever', 'headache', 'high', 'fever']"
Typhoid,fever nausea pain,"['fever', 'nausea', 'pain']"
Typhoid,chills fatigue fever high fever vomiting,"['chills', 'fatigue', 'fever', 'high', 'fever', 'vomiting']"
Typhoid,abdominal pain pain weight loss,"['abdominal', 'pain', 'pain', 'weight', 'loss']"
Typhoid,constipation vomiting,"['constipation', 'vomiting']"
Typhoid,diarrhea fever nausea,"['diarrhea', 'fever', 'nausea']"
Typhoid,chills fever headache pain,"['chills', 'fever', 'headache', 'pain']"
Typhoid,constipation diarrhea fever headache high fever pain vomiting,"['constipation', 'diarrhea', 'fever', 'headache', 'high', 'fever', 'pain', 'vomiting']"
Typhoid,fever headache high fever nausea pain vomiting,"['fever', 'headache', 'high', 'fever', 'nausea', 'pain', 'vomiting']"
Typhoid,constipation diarrhea,"['constipation', 'diarrhea']"
Typhoid,fever,['fever']
Chicken pox,itching rash,"['itching', 'rash']"
Chicken pox,fatigue lethargic,"['fatigue', 'lethargic']"
Chicken pox,fever high fever,"['fever', 'high', 'fever']"
Chicken pox,fever red spots,"['fever', 'red', 'spots']"
Chicken pox,red spots,"['red', 'spots']"
Chicken pox,itching lethargic,"['itching', 'lethargic']"
Chicken pox,itching rash skin rash,"['itching', 'rash', 'skin', 'rash']"
Chicken pox,fever high fever red spots,"['fever', 'high', 'fever', 'red', 'spots']"
Chicken pox,fever rash skin rash,"['fever', 'rash', 'skin', 'rash']"
Chicken pox,itchy red spots,"['itchy', 'red', 'spots']"
Chicken pox,itching itchy rash,"['itching', 'itchy', 'rash']"
Chicken pox,fever headache high fever severe headache,"['fever', 'headache', 'high', 'fever', 'severe', 'headache']"
Chicken pox,fatigue fever headache high fever swollen lymph nodes,"['fatigue', 'fever', 'headache', 'high', 'fever', 'swollen', 'lymph', 'nodes']"
Chicken pox,itching,['itching']
Chicken pox,fever headache lethargic severe headache,"['fever', 'headache', 'lethargic', 'severe', 'headache']"
Chicken pox,fever red spots swollen lymph nodes,"['fever', 'red', 'spots', 'swollen', 'lymph', 'nodes']"
Chicken pox,itching rash severe itching,"['itching', 'rash', 'severe', 'itching']"
Chicken pox,headache red spots severe headache,"['headache', 'red', 'spots', 'severe', 'headache']"
Chicken pox,fever headache itching red spots severe headache,"['fever', 'headache', 'itching', 'red', 'spots', 'severe', 'headache']"
Chicken pox,pain,['pain']
Chicken pox,pain rash skin rash,"['pain', 'rash', 'skin', 'rash']"
Chicken pox,fever headache high fever,"['fever', 'headache', 'high', 'fever']"
Chicken pox,itching pain,"['itching', 'pain']"
Chicken pox,fatigue fever headache pain rash red spots skin rash,"['fatigue', 'fever', 'headache', 'pain', 'rash', 'red', 'spots', 'skin', 'rash']"
Chicken pox,itching red spots,"['itching', 'red', 'spots']"
Chicken pox,vomiting,['vomiting']
Chicken pox,fever headache high fever red spots severe headache vomiting,"['fever', 'headache', 'high', 'fever', 'red', 'spots', 'severe', 'headache', 'vomiting']"
Chicken pox,fever headache red spots,"['fever', 'headache', 'red', 'spots']"
Chicken pox,fever headache,"['fever', 'headache']"
Chicken pox,fever,['fever']
Chicken pox,red spots vomiting,"['red', 'spots', 'vomiting']"
Chicken pox,fever headache itchy red spots,"['fever', 'headache', 'itchy', 'red', 'spots']"
Chicken pox,fever headache itching red spots severe itching,"['fever', 'headache', 'itching', 'red', 'spots', 'severe', 'itching']"
Chicken pox,fever high fever lethargic red spots,"['fever', 'high', 'fever', 'lethargic', 'red', 'spots']"
Chicken pox,fever high fever itching,"['fever', 'high', 'fever', 'itching']"
Impetigo,rash skin rash,"['rash', 'skin', 'rash']"
Impetigo,blistering sores fever high fever skin rash,"['blistering', 'sores', 'fever', 'high', 'fever', 'skin', 'rash']"
Impetigo,fever high fever yellow rust colored ooze,"['fever', 'high', 'fever', 'yellow', 'rust', 'colored', 'ooze']"
Impetigo,fever high fever rash,"['fever', 'high', 'fever', 'rash']"
Impetigo,fever high fever,"['fever', 'high', 'fever']"
Impetigo,rash,['rash']
Impetigo,fatigue fever high fever itchy rash,"['fatigue', 'fever', 'high', 'fever', 'itchy', 'rash']"
Impetigo,fever itchy weakness,"['fever', 'itchy', 'weakness']"
Impetigo,burning sensation rash,"['burning', 'sensation', 'rash']"
Impetigo,chills fever high fever,"['chills', 'fever', 'high', 'fever']"
Impetigo,rash red inflamed skin,"['rash', 'red', 'inflamed', 'skin']"
Impetigo,blistering sores fever itchy pain,"['blistering', 'sores', 'fever', 'itchy', 'pain']"
Impetigo,fever headache,"['fever', 'headache']"
Impetigo,rash yellow rust colored ooze,"['rash', 'yellow', 'rust', 'colored', 'ooze']"
Impetigo,pain,['pain']
Impetigo,burning sensation,"['burning', 'sensation']"
Impetigo,fever headache high fever,"['fever', 'headache', 'high', 'fever']"
Impetigo,fever high fever itchy,"['fever', 'high', 'fever', 'itchy']"
Impetigo,fever high fever rash skin rash,"['fever', 'high', 'fever', 'rash', 'skin', 'rash']"
Impetigo,fever rash,"['fever', 'rash']"
Dengue,itching joint pain pain rash skin rash vomiting,"['itching', 'joint', 'pain', 'pain', 'rash', 'skin', 'rash', 'vomiting']"
Dengue,back pain chills red spots,"['back', 'pain', 'chills', 'red', 'spots']"
Dengue,joint pain pain,"['joint', 'pain', 'pain']"
Dengue,back pain pain vomiting,"['back', 'pain', 'pain', 'vomiting']"
Dengue,chills fever headache high fever pain severe headache,"['chills', 'fever', 'headache', 'high', 'fever', 'pain', 'severe', 'headache']"
Dengue,fatigue,['fatigue']
Dengue,chills headache pain severe headache,"['chills', 'headache', 'pain', 'severe', 'headache']"
Dengue,pain red spots,"['pain', 'red', 'spots']"
Dengue,chills fever high fever itchy red spots,"['chills', 'fever', 'high', 'fever', 'itchy', 'red', 'spots']"
Dengue,back pain muscle pain pain vomiting,"['back', 'pain', 'muscle', 'pain', 'pain', 'vomiting']"
Dengue,back pain pain,"['back', 'pain', 'pain']"
Dengue,fever pain rash skin rash swelling,"['fever', 'pain', 'rash', 'skin', 'rash', 'swelling']"
Dengue,chills fever high fever red spots,"['chills', 'fever', 'high', 'fever', 'red', 'spots']"
Dengue,chills fever joint pain pain,"['chills', 'fever', 'joint', 'pain', 'pain']"
Dengue,cramps dizziness pain stomach cramps vomiting,"['cramps', 'dizziness', 'pain', 'stomach', 'cramps', 'vomiting']"
Dengue,fever high fever pain sweating weakness,"['fever', 'high', 'fever', 'pain', 'sweating', 'weakness']"
Dengue,fatigue vomiting,"['fatigue', 'vomiting']"
Dengue,fever headache red spots,"['fever', 'headache', 'red', 'spots']"
Dengue,loss of appetite nausea pain,"['loss', 'of', 'appetite', 'nausea', 'pain']"
Dengue,itching muscle pain pain red spots,"['itching', 'muscle', 'pain', 'pain', 'red', 'spots']"
Dengue,chills fever headache itching rash skin rash,"['chills', 'fever', 'headache', 'itching', 'rash', 'skin', 'rash']"
Dengue,headache itching pain red spots severe itching vomiting,"['headache', 'itching', 'pain', 'red', 'spots', 'severe', 'itching', 'vomiting']"
Dengue,fever pain,"['fever', 'pain']"
Dengue,joint pain pain vomiting,"['joint', 'pain', 'pain', 'vomiting']"
Dengue,itchy pain red spots,"['itchy', 'pain', 'red', 'spots']"
Dengue,fever high fever,"['fever', 'high', 'fever']"
Dengue,chills fever vomiting,"['chills', 'fever', 'vomiting']"
Dengue,dizziness pain vomiting,"['dizziness', 'pain', 'vomiting']"
Dengue,fever itchy nausea red spots,"['fever', 'itchy', 'nausea', 'red', 'spots']"
Dengue,rash skin rash,"['rash', 'skin', 'rash']"
Dengue,chills pain red spots,"['chills', 'pain', 'red', 'spots']"
Dengue,headache joint pain pain vomiting,"['headache', 'joint', 'pain', 'pain', 'vomiting']"
Dengue,pain vomiting,"['pain', 'vomiting']"
Dengue,fatigue red spots,"['fatigue', 'red', 'spots']"
Dengue,fatigue headache pain severe headache,"['fatigue', 'headache', 'pain', 'severe', 'headache']"
Dengue,fever headache,"['fever', 'headache']"
Dengue,itchy,['itchy']
Dengue,headache muscle pain pain red spots,"['headache', 'muscle', 'pain', 'pain', 'red', 'spots']"
Dengue,fever,['fever']
Dengue,chills fever high fever pain,"['chills', 'fever', 'high', 'fever', 'pain']"
Dengue,fever vomiting,"['fever', 'vomiting']"
Dengue,fever headache pain,"['fever', 'headache', 'pain']"
Dengue,chills fever red spots,"['chills', 'fever', 'red', 'spots']"
Dengue,pain,['pain']
Dengue,chills fever headache high fever pain,"['chills', 'fever', 'headache', 'high', 'fever', 'pain']"
Dengue,chills fever high fever,"['chills', 'fever', 'high', 'fever']"
Dengue,chills fever pain,"['chills', 'fever', 'pain']"
Fungal infection,itching rash,"['itching', 'rash']"
Fungal infection,itching rash severe itching,"['itching', 'rash', 'severe', 'itching']"
Fungal infection,discolored patches itching nodular eruptions rash,"['discolored', 'patches', 'itching', 'nodular', 'eruptions', 'rash']"
Fungal infection,itchy rash,"['itchy', 'rash']"
Fungal infection,itching,['itching']
Fungal infection,itchy,['itchy']
Fungal infection,rash,['rash']
Fungal infection,itching rash red spots,"['itching', 'rash', 'red', 'spots']"
Fungal infection,itching itchy,"['itching', 'itchy']"
Fungal infection,itching red spots,"['itching', 'red', 'spots']"
Common Cold,coughing fever sneezing,"['coughing', 'fever', 'sneezing']"
Common Cold,fever sneezing,"['fever', 'sneezing']"
Common Cold,sneezing,['sneezing']
Common Cold,fever high fever sneezing,"['fever', 'high', 'fever', 'sneezing']"
Common Cold,chills,['chills']
Common Cold,wheezing,['wheezing']
Common Cold,coughing itchy,"['coughing', 'itchy']"
Common Cold,coughing swelling,"['coughing', 'swelling']"
Common Cold,fatigue itching,"['fatigue', 'itching']"
Common Cold,fatigue,['fatigue']
Common Cold,difficulty breathing,"['difficulty', 'breathing']"
Common Cold,coughing,['coughing']
Common Cold,chills sore throat,"['chills', 'sore', 'throat']"
Common Cold,chest pain coughing fever pain runny nose,"['chest', 'pain', 'coughing', 'fever', 'pain', 'runny', 'nose']"
Common Cold,coughing pain,"['coughing', 'pain']"
Common Cold,watery eyes,"['watery', 'eyes']"
Common Cold,coughing puffy eyes,"['coughing', 'puffy', 'eyes']"
Pneumonia,chest pain coughing pain,"['chest', 'pain', 'coughing', 'pain']"
Pneumonia,coughing,['coughing']
Pneumonia,chills coughing,"['chills', 'coughing']"
Pneumonia,chills,['chills']
Pneumonia,fever high fever sweating,"['fever', 'high', 'fever', 'sweating']"
Pneumonia,coughing fatigue fever high fever,"['coughing', 'fatigue', 'fever', 'high', 'fever']"
Pneumonia,chills sweating,"['chills', 'sweating']"
Pneumonia,fever,['fever']
Pneumonia,fever sweating,"['fever', 'sweating']"
Pneumonia,fever high fever,"['fever', 'high', 'fever']"
Pneumonia,chills coughing fatigue fever high fever sweating,"['chills', 'coughing', 'fatigue', 'fever', 'high', 'fever', 'sweating']"
Pneumonia,chills coughing sweating,"['chills', 'coughing', 'sweating']"
Pneumonia,coughing sweating,"['coughing', 'sweating']"
Pneumonia,chills difficulty breathing fatigue fever,"['chills', 'difficulty', 'breathing', 'fatigue', 'fever']"
Pneumonia,chills difficulty breathing fatigue fever high fever sweating,"['chills', 'difficulty', 'breathing', 'fatigue', 'fever', 'high', 'fever', 'sweating']"
Pneumonia,chills lethargy sweating,"['chills', 'lethargy', 'sweating']"
Pneumonia,sweating,['sweating']
Pneumonia,coughing difficulty breathing,"['coughing', 'difficulty', 'breathing']"
Pneumonia,coughing fever high fever,"['coughing', 'fever', 'high', 'fever']"
Dimorphic Hemorrhoids,constipation pain,"['constipation', 'pain']"
Dimorphic Hemorrhoids,pain,['pain']
Dimorphic Hemorrhoids,itching,['itching']
Dimorphic Hemorrhoids,constipation itchy,"['constipation', 'itchy']"
Dimorphic Hemorrhoids,itchy,['itchy']
Dimorphic Hemorrhoids,bloody stools itching,"['bloody', 'stools', 'itching']"
Dimorphic Hemorrhoids,itchy pain,"['itchy', 'pain']"
Dimorphic Hemorrhoids,constipation,['constipation']
Arthritis,swelling,['swelling']
Arthritis,weakness,['weakness']
Arthritis,swelling weakness,"['swelling', 'weakness']"
Acne,rash,['rash']
Acne,rash skin rash,"['rash', 'skin', 'rash']"
Acne,itchy rash,"['itchy', 'rash']"
Acne,itching rash,"['itching', 'rash']"
Bronchial Asthma,coughing difficulty breathing fever,"['coughing', 'difficulty', 'breathing', 'fever']"
Bronchial Asthma,coughing fever,"['coughing', 'fever']"
Bronchial Asthma,fatigue fever persistent cough,"['fatigue', 'fever', 'persistent', 'cough']"
Bronchial Asthma,coughing fever high fever,"['coughing', 'fever', 'high', 'fever']"
Bronchial Asthma,fatigue fever,"['fatigue', 'fever']"
Bronchial Asthma,fever high fever weakness,"['fever', 'high', 'fever', 'weakness']"
Bronchial Asthma,fever,['fever']
Bronchial Asthma,coughing fever persistent cough,"['coughing', 'fever', 'persistent', 'cough']"
Bronchial Asthma,fever persistent cough,"['fever', 'persistent', 'cough']"
Bronchial Asthma,coughing fatigue fever,"['coughing', 'fatigue', 'fever']"
Bronchial Asthma,fever high fever persistent cough,"['fever', 'high', 'fever', 'persistent', 'cough']"
Bronchial Asthma,coughing fever high fever persistent cough,"['coughing', 'fever', 'high', 'fever', 'persistent', 'cough']"
Bronchial Asthma,difficulty breathing fever,"['difficulty', 'breathing', 'fever']"
Bronchial Asthma,coughing difficulty breathing fatigue fever,"['coughing', 'difficulty', 'breathing', 'fatigue', 'fever']"
Bronchial Asthma,difficulty breathing fever persistent cough,"['difficulty', 'breathing', 'fever', 'persistent', 'cough']"
Bronchial Asthma,fever high fever,"['fever', 'high', 'fever']"
Bronchial Asthma,difficulty breathing fever high fever,"['difficulty', 'breathing', 'fever', 'high', 'fever']"
Bronchial Asthma,weakness,['weakness']
Bronchial Asthma,difficulty breathing,"['difficulty', 'breathing']"
Hypertension,chest pain dizziness headache pain,"['chest', 'pain', 'dizziness', 'headache', 'pain']"
Hypertension,chest pain headache pain,"['chest', 'pain', 'headache', 'pain']"
Hypertension,chest pain pain,"['chest', 'pain', 'pain']"
Hypertension,difficulty concentrating dizziness headache,"['difficulty', 'concentrating', 'dizziness', 'headache']"
Hypertension,dizziness,['dizziness']
Hypertension,headache,['headache']
Hypertension,pain,['pain']
Hypertension,chest pain headache lightheadedness pain,"['chest', 'pain', 'headache', 'lightheadedness', 'pain']"
Hypertension,dizziness headache,"['dizziness', 'headache']"
Migraine,blurred vision headache indigestion,"['blurred', 'vision', 'headache', 'indigestion']"
Migraine,headache indigestion,"['headache', 'indigestion']"
Migraine,blurred vision headache,"['blurred', 'vision', 'headache']"
Migraine,headache,['headache']
Migraine,headache heartburn indigestion,"['headache', 'heartburn', 'indigestion']"
Migraine,dizziness headache indigestion,"['dizziness', 'headache', 'indigestion']"
Cervical spondylosis,back pain pain persistent cough weakness,"['back', 'pain', 'pain', 'persistent', 'cough', 'weakness']"
Cervical spondylosis,pain weakness,"['pain', 'weakness']"
Cervical spondylosis,back pain dizziness pain weakness,"['back', 'pain', 'dizziness', 'pain', 'weakness']"
Cervical spondylosis,back pain numbness pain,"['back', 'pain', 'numbness', 'pain']"
Cervical spondylosis,back pain coughing numbness pain,"['back', 'pain', 'coughing', 'numbness', 'pain']"
Cervical spondylosis,coughing numbness pain,"['coughing', 'numbness', 'pain']"
Cervical spondylosis,persistent cough weakness,"['persistent', 'cough', 'weakness']"
Cervical spondylosis,weakness,['weakness']
Cervical spondylosis,back pain pain,"['back', 'pain', 'pain']"
Cervical spondylosis,back pain pain weakness,"['back', 'pain', 'pain', 'weakness']"
Cervical spondylosis,difficulty breathing weakness,"['difficulty', 'breathing', 'weakness']"
Cervical spondylosis,back pain dizziness pain persistent cough weakness,"['back', 'pain', 'dizziness', 'pain', 'persistent', 'cough', 'weakness']"
Cervical spondylosis,back pain coughing pain weakness,"['back', 'pain', 'coughing', 'pain', 'weakness']"
Cervical spondylosis,back pain dizziness numbness pain persistent cough,"['back', 'pain', 'dizziness', 'numbness', 'pain', 'persistent', 'cough']"
Cervical spondylosis,back pain dizziness pain,"['back', 'pain', 'dizziness', 'pain']"
Cervical spondylosis,back pain numbness pain persistent cough,"['back', 'pain', 'numbness', 'pain', 'persistent', 'cough']"
Cervical spondylosis,back pain dizziness pain persistent cough,"['back', 'pain', 'dizziness', 'pain', 'persistent', 'cough']"
Cervical spondylosis,back pain coughing pain,"['back', 'pain', 'coughing', 'pain']"
Cervical spondylosis,coughing,['coughing']
Jaundice,abdominal pain fatigue fever high fever itching pain vomiting,"['abdominal', 'pain', 'fatigue', 'fever', 'high', 'fever', 'itching', 'pain', 'vomiting']"
Jaundice,pain,['pain']
Jaundice,fever high fever nausea,"['fever', 'high', 'fever', 'nausea']"
Jaundice,fever rash,"['fever', 'rash']"
Jaundice,abdominal pain fever itching pain severe itching vomiting,"['abdominal', 'pain', 'fever', 'itching', 'pain', 'severe', 'itching', 'vomiting']"
Jaundice,fever itching nausea pain,"['fever', 'itching', 'nausea', 'pain']"
Jaundice,fever itching pain,"['fever', 'itching', 'pain']"
Jaundice,itching nausea,"['itching', 'nausea']"
Jaundice,abdominal pain fatigue fever itchy pain vomiting,"['abdominal', 'pain', 'fatigue', 'fever', 'itchy', 'pain', 'vomiting']"
Jaundice,fever,['fever']
Jaundice,fever itchy,"['fever', 'itchy']"
Jaundice,fever high fever,"['fever', 'high', 'fever']"
Jaundice,itchy,['itchy']
Jaundice,itching nausea pain,"['itching', 'nausea', 'pain']"
Jaundice,fever high fever pain,"['fever', 'high', 'fever', 'pain']"
Jaundice,fever nausea rash,"['fever', 'nausea', 'rash']"
Jaundice,nausea pain vomiting,"['nausea', 'pain', 'vomiting']"
Jaundice,fever high fever nausea pain,"['fever', 'high', 'fever', 'nausea', 'pain']"
Jaundice,abdominal pain fatigue fever high fever itching pain severe itching vomiting,"['abdominal', 'pain', 'fatigue', 'fever', 'high', 'fever', 'itching', 'pain', 'severe', 'itching', 'vomiting']"
Jaundice,fatigue fever nausea rash,"['fatigue', 'fever', 'nausea', 'rash']"
Jaundice,abdominal pain fever itchy pain vomiting,"['abdominal', 'pain', 'fever', 'itchy', 'pain', 'vomiting']"
Jaundice,abdominal pain fatigue fever itching pain vomiting weight loss,"['abdominal', 'pain', 'fatigue', 'fever', 'itching', 'pain', 'vomiting', 'weight', 'loss']"
Jaundice,fever itching nausea pain severe itching,"['fever', 'itching', 'nausea', 'pain', 'severe', 'itching']"
Jaundice,abdominal pain fatigue fever itching pain severe itching vomiting weight loss,"['abdominal', 'pain', 'fatigue', 'fever', 'itching', 'pain', 'severe', 'itching', 'vomiting', 'weight', 'loss']"
Jaundice,fatigue fever pain,"['fatigue', 'fever', 'pain']"
Malaria,chills fever headache high fever itching severe itching sweating vomiting,"['chills', 'fever', 'headache', 'high', 'fever', 'itching', 'severe', 'itching', 'sweating', 'vomiting']"
Malaria,chills headache itching vomiting,"['chills', 'headache', 'itching', 'vomiting']"
Malaria,chills headache nausea,"['chills', 'headache', 'nausea']"
Malaria,chills fever headache high fever nausea sweating,"['chills', 'fever', 'headache', 'high', 'fever', 'nausea', 'sweating']"
Malaria,chills fever headache high fever itching,"['chills', 'fever', 'headache', 'high', 'fever', 'itching']"
Malaria,chills fever headache itching sweating vomiting,"['chills', 'fever', 'headache', 'itching', 'sweating', 'vomiting']"
Malaria,chills fever headache high fever vomiting,"['chills', 'fever', 'headache', 'high', 'fever', 'vomiting']"
Malaria,chills fever headache high fever nausea,"['chills', 'fever', 'headache', 'high', 'fever', 'nausea']"
Malaria,chills fever headache high fever itching muscle pain nausea pain sweating vomiting,"['chills', 'fever', 'headache', 'high', 'fever', 'itching', 'muscle', 'pain', 'nausea', 'pain', 'sweating', 'vomiting']"
Malaria,chills fever headache high fever itching nausea severe itching vomiting,"['chills', 'fever', 'headache', 'high', 'fever', 'itching', 'nausea', 'severe', 'itching', 'vomiting']"
Malaria,chills headache itching nausea severe itching vomiting,"['chills', 'headache', 'itching', 'nausea', 'severe', 'itching', 'vomiting']"
Malaria,chills fever headache high fever itching nausea severe itching,"['chills', 'fever', 'headache', 'high', 'fever', 'itching', 'nausea', 'severe', 'itching']"
Malaria,chills fever headache high fever itching muscle pain nausea pain severe itching sweating vomiting,"['chills', 'fever', 'headache', 'high', 'fever', 'itching', 'muscle', 'pain', 'nausea', 'pain', 'severe', 'itching', 'sweating', 'vomiting']"
Malaria,chills headache itching nausea vomiting,"['chills', 'headache', 'itching', 'nausea', 'vomiting']"
Malaria,chills fever headache high fever itching nausea,"['chills', 'fever', 'headache', 'high', 'fever', 'itching', 'nausea']"
Malaria,chills fever headache nausea vomiting,"['chills', 'fever', 'headache', 'nausea', 'vomiting']"
Malaria,chills fever headache high fever itching nausea severe itching sweating,"['chills', 'fever', 'headache', 'high', 'fever', 'itching', 'nausea', 'severe', 'itching', 'sweating']"
Malaria,chills headache muscle pain nausea pain,"['chills', 'headache', 'muscle', 'pain', 'nausea', 'pain']"
Malaria,chills fever headache high fever muscle pain nausea pain sweating,"['chills', 'fever', 'headache', 'high', 'fever', 'muscle', 'pain', 'nausea', 'pain', 'sweating']"
Malaria,chills fever headache high fever itching nausea severe itching sweating vomiting,"['chills', 'fever', 'headache', 'high', 'fever', 'itching', 'nausea', 'severe', 'itching', 'sweating', 'vomiting']"
urinary tract infection,bloody urine fever foul smelling urine low fever nausea pain pain during urination pelvic pain vomiting,"['bloody', 'urine', 'fever', 'foul', 'smelling', 'urine', 'low', 'fever', 'nausea', 'pain', 'pain', 'during', 'urination', 'pelvic', 'pain', 'vomiting']"
urinary tract infection,pain pain during urination,"['pain', 'pain', 'during', 'urination']"
urinary tract infection,burning sensation foul smelling urine pain,"['burning', 'sensation', 'foul', 'smelling', 'urine', 'pain']"
urinary tract infection,fever pain,"['fever', 'pain']"
urinary tract infection,pain,['pain']
urinary tract infection,fever low fever pain,"['fever', 'low', 'fever', 'pain']"
urinary tract infection,fever,['fever']
urinary tract infection,headache,['headache']
urinary tract infection,fever nausea,"['fever', 'nausea']"
urinary tract infection,nausea,['nausea']
urinary tract infection,back pain headache pain,"['back', 'pain', 'headache', 'pain']"
urinary tract infection,bloody urine,"['bloody', 'urine']"
urinary tract infection,pain pelvic pain,"['pain', 'pelvic', 'pain']"
allergy,coughing itchy runny nose sneezing,"['coughing', 'itchy', 'runny', 'nose', 'sneezing']"
allergy,sneezing sore throat swelling,"['sneezing', 'sore', 'throat', 'swelling']"
allergy,itchy itchy eyes swelling,"['itchy', 'itchy', 'eyes', 'swelling']"
allergy,chest pain nasal congestion pain,"['chest', 'pain', 'nasal', 'congestion', 'pain']"
