label,extracted_symptoms
allergy,sneezing sore throat swelling
allergy,itchy itchy eyes swelling
allergy,chest pain nasal congestion pain
allergy,difficulty breathing fever headache wheezing
allergy,cramps fever muscle aches sore throat
allergy,difficulty swallowing loss of appetite sore throat
allergy,fatigue flaky skin puffy eyes tingling sensation
allergy,chest pain cramps diarrhea difficulty breathing nausea pain stomach cramps
allergy,itchy watery eyes
allergy,runny nose
allergy,sneezing sore throat
allergy,nasal congestion
allergy,fever headache wheezing
allergy,cramps pain
allergy,sore throat
allergy,dry skin
allergy,nausea swelling
allergy,headache
allergy,
allergy,itching
allergy,cramps itchy
allergy,swelling
allergy,nausea
allergy,fatigue
allergy,headache itchy watery eyes
allergy,cramps
allergy,headache itching swelling
gastroesophageal reflux disease,burning sensation
gastroesophageal reflux disease,heartburn indigestion pain
gastroesophageal reflux disease,belching burping chest pain pain
gastroesophageal reflux disease,hiccups sour taste
gastroesophageal reflux disease,bad breath sour taste tingling sensation
gastroesophageal reflux disease,chest pain heartburn indigestion pain
gastroesophageal reflux disease,difficulty swallowing heartburn loss of appetite tingling sensation
gastroesophageal reflux disease,bad breath belching hoarseness pain sore throat
gastroesophageal reflux disease,pain
gastroesophageal reflux disease,
gastroesophageal reflux disease,heartburn indigestion
gastroesophageal reflux disease,belching burping
gastroesophageal reflux disease,sour taste
gastroesophageal reflux disease,heartburn nausea
gastroesophageal reflux disease,sore throat
gastroesophageal reflux disease,bad breath
gastroesophageal reflux disease,bad breath sore throat
gastroesophageal reflux disease,chest pain pain
drug reaction,joint pain metallic taste muscle pain pain
drug reaction,headache muscle twitching tremors
drug reaction,fever
drug reaction,tremors
drug reaction,chest pain pain
drug reaction,flaky skin itching
drug reaction,hair loss increased dandruff itchy
drug reaction,brain fog
drug reaction,mood swings
drug reaction,weight gain
drug reaction,
drug reaction,change in taste pain
drug reaction,headache
drug reaction,nausea
drug reaction,flaky skin
drug reaction,hair loss itching
drug reaction,change in taste
drug reaction,chest pain nausea pain
drug reaction,itchy
drug reaction,dizziness headache
drug reaction,brain fog confusion
drug reaction,muscle pain pain
peptic ulcer disease,burning sensation heartburn indigestion
peptic ulcer disease,bloating loss of appetite weight loss
peptic ulcer disease,belching bloating difficulty swallowing sour taste
peptic ulcer disease,anemia bloody stools
peptic ulcer disease,abdominal cramps bloating cramps gas gnawing hunger spasms
peptic ulcer disease,constipation diarrhea fatigue loss of appetite
peptic ulcer disease,abdominal pain pain
peptic ulcer disease,abdominal pain fatigue loss of appetite pain
peptic ulcer disease,belching burping
peptic ulcer disease,pain weight loss
peptic ulcer disease,heartburn indigestion nausea
peptic ulcer disease,bloating
peptic ulcer disease,sour taste
peptic ulcer disease,bloody stools
peptic ulcer disease,bloating gas
peptic ulcer disease,
peptic ulcer disease,pain
peptic ulcer disease,dark tarry stools
peptic ulcer disease,diarrhea
peptic ulcer disease,heartburn indigestion
peptic ulcer disease,bloating cramps gas
diabetes,dry mouth frequent urination increased thirst
diabetes,blurred vision fatigue
diabetes,dry mouth
diabetes,numbness tingling sensation
diabetes,difficulty concentrating
diabetes,fatigue muscle twitching tremors
diabetes,skin irritations
diabetes,
diabetes,difficulty breathing sweating yeast infections
diabetes,palpitations sore throat
diabetes,dizziness lightheadedness
diabetes,tingling sensation
diabetes,palpitations
diabetes,sweating yeast infections
diabetes,fatigue lightheadedness
diabetes,yeast infections
diabetes,skin rash
